% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2845	1	1	1	0	28	9422	0	1
2849	1	1	1	0	2	573	0	1
2850	1	1	1	0	28	9422	0	1
2851	1	1	1	0	28	9422	0	1
2852	1	1	1	0	28	9422	0	1
2853	1	1	1	0	28	9422	0	1
2854	1	1	1	0	28	9422	0	1
2855	1	1	1	0	28	9422	0	1
2856	1	1	1	0	28	9422	0	1
2857	1	1	1	0	28	9422	0	1
2858	1	1	1	0	28	9422	0	1
2859	1	1	1	0	28	9422	0	1
2860	1	1	1	0	28	9422	0	1
2879	1	1	1	0	28	9422	0	1
2880	1	1	1	0	28	9422	0	1
2881	1	1	1	0	28	9422	0	1
2885	1	1	1	0	28	9422	0	1
2886	1	1	1	0	28	9422	0	1
2887	1	1	1	0	2	573	0	1
2888	1	1	1	0	28	9422	0	1
2889	1	1	1	0	28	9422	0	1
2890	1	1	1	0	28	9422	0	1
2891	1	1	1	0	28	9422	0	1
2892	1	1	1	0	28	9422	0	1
2893	1	1	1	0	28	9422	0	1
2894	1	1	1	0	28	9422	0	1
2895	1	1	1	0	28	9422	0	1
2896	1	1	1	0	28	9422	0	1
2897	1	1	1	0	28	9422	0	1
2915	1	1	1	0	28	9422	0	1
2916	1	1	1	0	28	9422	0	1
2917	1	1	1	0	28	9422	0	1
2921	1	1	1	0	28	9422	0	1
2922	1	1	1	0	28	9422	0	1
2923	1	1	1	0	28	9422	0	1
2924	1	1	1	0	28	9422	0	1
2925	1	1	1	0	28	9422	0	1
