% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
2.039	2	1	204	10	1	28	9422	0	0
2.04	2	1	205	1	1	28	9422	0	0
2.041	2	1	205	2	1	28	9422	0	0
2.042	2	1	205	3	1	28	9422	0	0
2.043	2	1	205	4	1	28	9422	0	0
2.044	1	1	205	5	1	28	9422	0	0
2.044	2	1	205	5	1	28	9422	0	0
2.045	2	1	205	6	1	28	9422	0	0
2.05	2	1	206	1	1	28	9422	0	0
2.051	2	1	206	2	1	28	9422	0	0
2.052	2	1	206	3	1	28	9422	0	0
2.053	2	1	206	4	1	28	9422	0	0
2.054	2	1	206	5	1	28	9422	0	0
2.055	2	1	206	6	1	28	9422	0	0
2.056	2	1	206	7	1	28	9422	0	0
2.057	2	1	206	8	1	28	9422	0	0
2.062	2	1	207	3	1	28	9422	0	0
2.063	2	1	207	4	1	28	9422	0	0
2.064	2	1	207	5	1	28	9422	0	0
2.065	2	1	207	6	1	28	9422	0	0
2.066	2	1	207	7	1	28	9422	0	0
2.067	2	1	207	8	1	28	9422	0	0
2.068	2	1	207	9	1	28	9422	0	0
2.069	2	1	207	10	1	28	9422	0	0
2.07	2	1	208	1	1	28	9422	0	0
2.071	2	1	208	2	1	28	9422	0	0
2.072	2	1	208	3	1	28	9422	0	0
2.073	2	1	208	4	1	28	9422	0	0
2.074	2	1	208	5	1	28	9422	0	0
2.075	2	1	208	6	1	28	9422	0	0
2.076	2	1	208	7	1	28	9422	0	0
2.077	2	1	208	8	1	28	9422	0	0
2.078	2	1	208	9	1	28	9422	0	0
2.079	2	1	208	10	1	28	9422	0	0
2.08	2	1	209	1	1	28	9422	0	0
2.081	2	1	209	2	1	28	9422	0	0
2.082	2	1	209	3	1	28	9422	0	0
2.083	2	1	209	4	1	28	9422	0	0
2.084	2	1	209	5	1	28	9422	0	0
2.085	2	1	209	6	1	28	9422	0	0
2.086	2	1	209	7	1	28	9422	0	0
2.087	1	1	209	8	1	28	9422	0	0
2.087	2	1	209	8	1	28	9422	0	0
2.088	2	1	209	9	1	28	9422	0	0
2.089	2	1	209	10	1	28	9422	0	0
2.09	2	1	210	1	1	28	9422	0	0
2.091	2	1	210	2	1	28	9422	0	0
2.092	2	1	210	3	1	28	9422	0	0
